firm,model,drive,frame_type,generation_number,year,restyling_number,mileage,transmission,engine_power,steering_wheel,fuel_type,volume,ownership_periods,price
Skoda,Octavia,FF,LIFTBACK,3,2018,1,79000,AT,110,left,GASOLINE,1600.0,2.0,1200000
Hyundai,Getz,FF,HATCH,1,2008,1,180000,MANUAL,97,left,GASOLINE,1400.0,8.0,340000
Hyundai,Elantra,FF,SEDAN,5,2014,1,180000,AT,150,left,GASOLINE,1800.0,2.0,800000
Ford,F150,RR,PICKUP,11,2007,1,17720,AUTO,570,left,,5400.0,3.0,3500000
Suzuki,Jimny,4WD,SUV_3DR,-1,1998,-1,260000,AUTO,80,right,GASOLINE,1300.0,0.0,385000
Audi,A5,FF,COUPE,1,2010,0,87000,CVT,160,left,GASOLINE,1800.0,4.0,980000
Mitsubishi,Outlander,4WD,SUV,3,2014,-1,121000,AUTO,167,left,GASOLINE,2400.0,2.0,1550000
Mitsubishi,Pajero Sport,4WD,SUV,2,2010,0,123000,MT,178,left,DIESEL,2500.0,4.0,1000000
Nissan,X-Trail,4WD,SUV,3,2017,0,119268,AUTO,144,left,GASOLINE,2000.0,1.0,1449000
BMW,3-Series,FR,SEDAN,4,2001,0,316000,MT,105,left,GASOLINE,1900.0,4.0,210000
Toyota,Prius,FF,LIFTBACK,4,2018,1,17900,AUTO,99,left,GASOLINE,1800.0,0.0,1900000
Opel,Vivaro,FF,MINIVAN,3,2020,0,0,MANUAL,90,left,,1600.0,0.0,1866900
Porsche,Panamera,4WD,LIFTBACK,1,2009,0,200000,SAT,500,left,GASOLINE,4800.0,3.0,2300000
Chevrolet,Spark,FF,HATCH,0,2008,0,67800,MANUAL,52,left,GASOLINE,796.0,3.0,184900
Nissan,Leaf,FF,HATCH,1,2014,0,62000,SSR,109,left,ELECTRO,0.0,0.0,949196
Opel,Astra,FF,SEDAN,3,2008,1,170000,MANUAL,115,left,GASOLINE,1600.0,5.0,346500
Toyota,RAV4,4WD,SUV,3,2006,0,178000,MANUAL,152,left,GASOLINE,2000.0,4.0,570000
Ford,F150,4WD,PICKUP,8,2018,1,4500,AT,395,left,GASOLINE,5000.0,1.0,5650000
Jaguar,XE,FR,SEDAN,1,2015,0,92000,AT,240,left,GASOLINE,2000.0,3.0,1650000
Volvo,S60,FF,SEDAN,2,2011,0,220000,MT,150,left,GASOLINE,1600.0,5.0,690000
Chevrolet,Cruze,FF,SEDAN,1,2011,0,166000,AT,141,left,GASOLINE,1800.0,4.0,560000
Suzuki,Escudo,4WD,SUV,1,1992,0,20000,MT,100,right,GASOLINE,1600.0,0.0,330000
Citroen,C3,FF,HATCH,1,2008,1,153000,SAT,88,left,GASOLINE,1400.0,8.0,170000
Renault,Megane,FF,SEDAN,2,2008,1,113000,AUTO,113,left,GASOLINE,1600.0,3.0,250000
Toyota,Corolla Fielder,FF,WAGON,3,2015,-1,57770,AUTO,74,right,GASOLINE,1500.0,0.0,995000
Nissan,Leaf,FF,HATCH,1,2013,0,70000,SSR,109,left,ELECTRO,0.0,0.0,919196
Toyota,Camry,FF,SEDAN,-1,2018,-1,56000,AUTO,150,left,GASOLINE,2000.0,2.0,1650000
Audi,Q3,FF,SUV,1,2015,1,90000,AUTO,150,left,GASOLINE,1400.0,4.0,1477000
Ford,Focus,FF,SEDAN,2,2007,0,288828,MT,115,left,DIESEL,1800.0,6.0,235600
Volkswagen,Touareg,4WD,SUV,0,2010,0,179203,AUTO,280,left,GASOLINE,3600.0,2.0,1070000
Citroen,C5,FF,LIFTBACK,1,2005,1,230000,AT,140,left,GASOLINE,2000.0,13.0,220000
Nissan,Almera,FF,SEDAN,3,2016,0,177282,MANUAL,102,left,GASOLINE,1600.0,3.0,419800
Toyota,Land Cruiser,4WD,SUV,11,2015,2,173000,AT,249,left,DIESEL,4500.0,1.0,4199000
BMW,X5,4WD,SUV,2,2009,0,180000,AT,235,left,DIESEL,3000.0,9.0,1350000
Land Rover,Discovery Sport,4WD,SUV,1,2018,0,38929,AT,150,left,DIESEL,2000.0,1.0,2599000
BMW,6-Series,FR,COUPE,2,2008,1,145000,AT,272,left,GASOLINE,3000.0,10.0,950000
Honda,Shuttle,FF,WAGON,2,2016,0,45000,SAT,110,right,GASOLINE,1500.0,0.0,1200000
Nissan,Leaf,FF,HATCH,1,2014,0,45000,SSR,109,right,ELECTRO,0.0,0.0,709196
Mazda,323,FF,SEDAN,-1,1997,-1,390000,AUTO,73,left,GASOLINE,1600.0,9.0,129999
